영업상태명,전화번호,지번주소,도로명주소,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,별점,리뷰개수,카테고리,메뉴
영업/정상,02 0965 6790,서울특별시 동대문구 이문동 305-59번지,서울특별시 동대문구 휘경로 12 (이문동),24시해장국,20200000000000.0,I,59:59.0,한식,205341.6738,454835.6676,한식,2.9,72,감자탕,"{'감자탕 (대)': '35,000', '감자탕 (중)': '30,000', '감자탕 (소)': '22,000', '뼈다귀찜 (대)': '38,000', '뼈다귀찜 (중)': '33,000', '뼈다귀찜 (소)': '26,000', '닭도리탕 (대)': '35,000', '닭도리탕 (중)': '30,000', '닭도리탕 (소)': '22,000', '뼈다귀해장국': '7,000'}"
영업/정상,02  957 3876,서울특별시 동대문구 이문동 288-4번지,서울특별시 동대문구 이문로 118 (이문동),광주회관,20200000000000.0,I,59:59.0,한식,205308.8444,454979.3372,한식,3.9,8,한식,"{'묵은지삼겹살': '15,000', '갈치조림': '30,000', '제육볶음': '11,000', '김치찌개': '8,000', '꼬막비빔밥': '13,000'}"
영업/정상,02 9662732,서울특별시 동대문구 이문동 255-251번지 1층,서울특별시 동대문구 신이문로 4 1층 (이문동),진성각,20200000000000.0,U,40:00.0,회집,205446.2949,455613.6139,회집,2.5,1,중화요리,{}
영업/정상,02 9634704,서울특별시 동대문구 이문동 289-1번지,서울특별시 동대문구 휘경로 9 (이문동),비스마르크,20200000000000.0,I,59:59.0,호프/통닭,205358.3425,454870.4161,호프/통닭,4.0,0,"호프,요리주점",{}
영업/정상,02 9657302,서울특별시 동대문구 이문동 289-1,서울특별시 동대문구 휘경로 9 (이문동),메이퀸,20200000000000.0,U,00:00.0,한식,205358.3425,454870.4161,,2.0,1,와인바,{}
영업/정상,02 9672384,서울특별시 동대문구 이문동 287-44번지,서울특별시 동대문구 이문로28길 8 (이문동),그린치킨닥터,20200000000000.0,I,59:59.0,한식,205247.9211,454828.8398,한식,2.6,14,닭요리,"{'양념스테이크': '6,000', '치킨스테이크': '6,000', '바베큐한마리': '14,000', '바베큐반마리': '11,000', '콘버터': '2,000'}"
영업/정상,02 9648857,서울특별시 동대문구 이문동 305-3번지,서울특별시 동대문구 휘경로2가길 1 (이문동),고흥소곱창,20200000000000.0,U,40:00.0,한식,205318.2373,454803.0843,한식,4.2,20,"곱창,막창","{'소곱창 (1인분)': '22,000', '소막창 (1인분)': '20,000', '소대창 (1인분)': '20,000', '부추생삼겹 (1인분)': '13,000', '냉삼겹 (1인분)': '7,500'}"
영업/정상,02 9599028,서울특별시 동대문구 이문동 175-20번지,서울특별시 동대문구 한천로 441 (이문동),아사원,20200000000000.0,I,59:59.0,한식,205885.31600000000,455303.3716,한식,5.0,2,중화요리,{}
영업/정상,02 9603701,서울특별시 동대문구 이문동 305-73번지 1층,서울특별시 동대문구 휘경로2길 3 1층 (이문동),청년다방,20200000000000.0,U,40:00.0,통닭(치킨),205336.4196,454824.8275,통닭(치킨),2.1,15,떡볶이,"{'통큰오짱 떡볶이': 0, '차돌 떡볶이': 0, '멘치카레밥': 0, '불향가득차돌덮밥': 0, '청년돈가스': 0, '꼬치어묵탕': 0, '찰순대': 0, '다모아튀김': 0}"
영업/정상,02 32952897,서울특별시 동대문구 이문동 288-55번지,서울특별시 동대문구 이문로28길 9 (이문동),신통일부대찌개,20100000000000.0,I,59:59.0,호프/통닭,205268.2082,454831.4639,호프/통닭,4.6,15,"찌개,전골","{'부대찌개': '6,500', '부대찌개 (1인분)': '8,000'}"
영업/정상,02 9592227,서울특별시 동대문구 이문동 305-61번지 (휘경로 14),서울특별시 동대문구 휘경로 14 (이문동(휘경로 14)),볼텍스,20100000000000.0,I,59:59.0,호프/통닭,205363.8173,454822.4609,호프/통닭,0.0,0,양식,{}
영업/정상,02 9649125,서울특별시 동대문구 이문동 305-64번지,서울특별시 동대문구 휘경로 18-1 지하1층 (이문동),비스트리트,20200000000000.0,U,40:00.0,정종/대포집/소주방,205394.3349,454804.2844,정종/대포집/소주방,0.0,0,한식,{}
영업/정상,,서울특별시 동대문구 이문동 288-54번지,서울특별시 동대문구 이문로28길 11 (이문동),술독에빠진기린,20200000000000.0,I,59:59.0,한식,205276.6836,454821.9387,한식,4.5,8,0,{}
영업/정상,02 9659295,서울특별시 동대문구 이문동 305-76번지 1층,서울특별시 동대문구 휘경로2길 5-6 1층 (이문동),밥한술,20200000000000.0,U,40:00.0,한식,205346.6186,454801.76,한식,0.0,1,"호프,요리주점","{'A set': '28,000', 'B set': '29,000', 'C set': '29,000', '두부김치': '12,000', '감자튀김': '7,000', '기운찬고기칼국수': '5,000', '김치찌개': '12,000', '닭갈비덮밥': '5,500', '닭볶음탕': '19,000', '닭한마리': '19,000', '반건조오징어': '8,000', '비빔칼국수': '5,000', '소고기덮밥': '6,500', '순살바삭치킨': '12,000', '어묵탕': '10,000', '왕만두': '3,000', '쭈삼떡': '14,000', '치즈스틱': '7,000', '치킨스테이크': '13,000', '통오징어튀김': '8,000', '한치': '8,000', '': ''}"
영업/정상,02 9680256,서울특별시 동대문구 이문동 292-170번지,서울특별시 동대문구 이문로30길 1 (이문동),장수식당,20200000000000.0,I,59:59.0,한식,205324.22600000000,454994.2255,한식,5.0,0,한식,{}
영업/정상,02 9666224,서울특별시 동대문구 이문동 305-78번지,서울특별시 동대문구 휘경로2길 5-10 (이문동),탐스,20200000000000.0,I,59:59.0,한식,205363.8296,454792.4796,한식,5.0,1,"호프,요리주점","{'모듬치즈&나쵸': '12,000'}"
영업/정상,02 9673110,서울특별시 동대문구 이문동 305-71번지,서울특별시 동대문구 휘경로2길 5-7 (이문동),도란도란곱창,20200000000000.0,I,59:59.0,한식,205358.1095,454812.1886,한식,2.9,50,"곱창,막창","{'야채곱창': '7,000', '순대볶음': '7,000', '오돌뼈': '7,000', '알곱창': '7,500', '계란말이': '8,000'}"
영업/정상,02 9692226,서울특별시 동대문구 이문동 305-84번지,,진미식당,20000000000000.0,I,59:59.0,한식,,,한식,5.0,0,한식,{}
영업/정상,02 9667672,서울특별시 동대문구 이문동 256-24번지,서울특별시 동대문구 이문로 187 (이문동),옛날칼국수,20000000000000.0,I,59:59.0,한식,205392.4694,455662.281,한식,5.0,4,국수,{}
영업/정상,,서울특별시 동대문구 이문동 305-75번지,서울특별시 동대문구 휘경로2길 5-4 (이문동),돼지왕,20200000000000.0,I,59:59.0,한식,205338.5698,454806.3761,한식,1.0,2,"육류,고기",{}
영업/정상,02 9595337,서울특별시 동대문구 이문동 288-44번지,서울특별시 동대문구 이문로28길 13 (이문동),아리랑동가스,20200000000000.0,I,59:59.0,경양식,205287.016,454810.8807,경양식,4.3,8,"돈까스,우동","{'마늘 돈까스': '5,500', '치즈 돈까스': '5,500', '치킨 까스': '5,500', '생선 까스': '6,000', '햄버그 스테이크': '6,500'}"
영업/정상,02 9637779,서울특별시 동대문구 이문동 288-43번지,서울특별시 동대문구 이문로28길 15 (이문동),세계로 식당,20200000000000.0,U,40:00.0,호프/통닭,205295.6859,454802.5512,호프/통닭,4.3,6,"호프,요리주점",{}
영업/정상,02  957 3835,서울특별시 동대문구 이문동 287-48번지,서울특별시 동대문구 이문로28길 10 1층 (이문동),외대철판마을,20200000000000.0,U,40:00.0,한식,205256.12400000000,454821.5751,한식,3.7,4,철판요리,"{'철판 삼겹살': '6,500', '철판 닭': '6,500', '철판 제육': '6,500', '철판 오징어': '8,000'}"
영업/정상,02 9692166,서울특별시 동대문구 이문동 325-12번지,서울특별시 동대문구 휘경로2길 36 1층 (이문동),미스사이공외대점,20200000000000.0,I,59:59.0,호프/통닭,205225.64,454709.0164,호프/통닭,4.0,3,베트남음식,{'분짜': 0}
영업/정상,02 9574938,서울특별시 동대문구 이문동 288-45,서울특별시 동대문구 휘경로 6-9 1층 (이문동),코코,20200000000000.0,U,09:00.0,경양식,205292.1489,454821.5558,,4.5,32,"초밥,롤","{'코코 특초밥': '14,900'}"
영업/정상,02 9571224,서울특별시 동대문구 이문동 287-39번지,서울특별시 동대문구 휘경로2길 16 1층 (이문동),(주)메이크샐러드,20200000000000.0,U,40:00.0,한식,205284.1692,454787.852,한식,3.5,32,양식,"{'수비드 닭가슴살': '5,800', '두부': '5,800', '로제 푸실리': '6,200', '그릴드 목살': '6,400', '훈제연어': '6,400'}"
영업/정상,02 9670485,서울특별시 동대문구 이문동 288-47번지,서울특별시 동대문구 휘경로 6-5 1층 (이문동),오뚜기부대찌개,20200000000000.0,I,59:59.0,한식,205302.9617,454842.394,한식,4.7,13,"찌개,전골","{'부대찌개(1인분)': '6,500'}"
영업/정상,02 9643445,서울특별시 동대문구 이문동 305-130번지,서울특별시 동대문구 휘경로2가길 4 (이문동),가야가야,20200000000000.0,I,59:59.0,한식,205322.1404,454782.4798,한식,2.0,37,일본식라면,"{'돈코츠 라멘': '7,000', '돈코츠야사이 라멘': '9,000', '돈코츠 차슈멘': '9,000', '카라이 돈코츠 라멘': '8,000', '돈코츠 미소라멘': '7,500'}"
영업/정상,02 9685455,서울특별시 동대문구 이문동 264-407번지,서울특별시 동대문구 천장산로7길 56 (이문동),그집,20200000000000.0,U,40:00.0,한식,204760.908,455110.802,한식,4.1,78,"육류,고기","{'한우차돌박이 (130g)': '12,000', '대패삼겹살 (150g)': '5,000', '소곱창전골 (1인)': '10,000', '매운갈비찜 (1인)': '9,000', '한우설렁탕': '8,000', '한우해장국': '7,000', '냉면': '6,000'}"
영업/정상,02 32954450,서울특별시 동대문구 이문동 305-132,서울특별시 동대문구 휘경로 22 (이문동),탐호프레스토랑,20200000000000.0,U,06:00.0,경양식,205431.7096,454780.3803,,0.0,0,"호프,요리주점",{}
영업/정상,02 9678351,서울특별시 동대문구 이문동 220-179번지 1층,서울특별시 동대문구 신이문로 41-1 1층 (이문동),치킨주막,20100000000000.0,I,59:59.0,통닭(치킨),205836.6765,455651.1621,통닭(치킨),0.0,0,치킨,{}
영업/정상,02 9647142,서울특별시 동대문구 이문동 288-44번지,서울특별시 동대문구 이문로28길 13 1층 (이문동),현창신동매운족발,20200000000000.0,I,59:59.0,한식,205287.016,454810.8807,한식,4.0,10,"족발,보쌈","{'반반족발 (앞다리)': '28,000', '영양족발 (앞다리)': '28,000', '영양족발 (뒷다리)': '25,000', '매운 순살족발 (앞다리)': '28,000', '매운순살족발 (뒷다리)': '25,000'}"
영업/정상,02 9658529,서울특별시 동대문구 이문동 264-210번지,서울특별시 동대문구 천장산로 31 (이문동),올(all)떡볶이,20200000000000.0,I,59:59.0,분식,205023.2558,455159.3268,분식,3.9,0,떡볶이,"{'튀김범벅': '4,500', '김가루 주먹밥': '2,500', '김치주먹밥': '2,000', '날씬 밀떡볶이': '5,000', '떡라면': '4,000', '라면': '3,000', '라볶이': '4,500', '매콤달콤떡볶이': '3,000', '매콤떡순볶음': '5,500', '밀떡볶이': '2,500', '순대': '3,000', '순대범벅': '4,500', '오뎅': '2,000', '오뎅라면': '4,000', '쫄면': '5,000', '참치마요 주먹밥': '2,000', '치즈라볶이': '5,500', '치즈매콤떡볶이': '4,000', '치즈밀떡볶이': '3,500', '튀김(5개)': '3,500', '파스타떡볶이': '5,000'}"
영업/정상,02 9630072,서울특별시 동대문구 이문동 305-71,서울특별시 동대문구 휘경로2길 5-7 (이문동),청춘국물닭발,20200000000000.0,U,07:00.0,한식,205358.1095,454812.1886,,3.0,3,한식,"{'추천\n국물닭발': '8,000'}"
영업/정상,02 9651241,서울특별시 동대문구 이문동 255-393번지,서울특별시 동대문구 신이문로 7 (이문동),밤푸스치킨,20200000000000.0,I,59:59.0,통닭(치킨),205495.6126,455643.3812,통닭(치킨),0.0,0,치킨,{}
영업/정상,02 9697733,서울특별시 동대문구 이문동 326-14번지,서울특별시 동대문구 휘경로2길 30 (이문동),외대곱창,20100000000000.0,I,59:59.0,한식,205245.3982,454737.1218,한식,5.0,1,"곱창,막창","{'곱창 (1인분)': '6,000', '순대 (1인분)': '6,000', '오돌뼈 (1인분)': '6,000', '홍합 (1인분)': '5,000'}"
영업/정상,02 9622885,서울특별시 동대문구 이문동 293-23번지,서울특별시 동대문구 이문로30길 23 (이문동),소문난집,20200000000000.0,I,59:59.0,한식,205366.6734,454914.6455,한식,0.0,0,순대,{}
영업/정상,02 9628614,서울특별시 동대문구 이문동 287-44 지하1층,서울특별시 동대문구 이문로28길 8 지하1층 (이문동),은짱스낵,20200000000000.0,U,02:00.0,한식,205247.9211,454828.8398,,0.0,0,"호프,요리주점",{}
영업/정상,02 9660867,서울특별시 동대문구 이문동 287-50,서울특별시 동대문구 이문로28길 12 (이문동),딱이야2,20200000000000.0,U,04:00.0,한식,205263.0737,454815.6237,,5.0,3,실내포장마차,{}
영업/정상,02  959 9990,서울특별시 동대문구 이문동 345-7번지,서울특별시 동대문구 이문로9길 8 (이문동),맛나분식,20200000000000.0,I,59:59.0,분식,205003.1603,454519.5473,분식,3.0,0,분식,{}
영업/정상,02 9646819,서울특별시 동대문구 이문동 220-302번지,서울특별시 동대문구 신이문로28길 4 (이문동),등대횟집,20200000000000.0,I,59:59.0,한식,205830.8678,455605.2651,한식,5.0,0,회,{}
영업/정상,02 9648259,서울특별시 동대문구 이문동 288-55번지,서울특별시 동대문구 이문로28길 9 2층 (이문동),깐띤,20200000000000.0,I,59:59.0,분식,205268.2082,454831.4639,분식,3.8,14,동남아음식,"{'등뼈 쌀국수': '6,500', '우삼겹 쌀국수': '7,000', '매운 등뼈': '7,000', '분짜': '7,500', '껌스언': '6,500'}"
영업/정상,02 9672827,서울특별시 동대문구 이문동 288-68번지 1~2층,서울특별시 동대문구 휘경로 3-4 1~2층 (이문동),더치앤빈,20200000000000.0,U,40:00.0,경양식,205305.2216,454906.027,경양식,4.4,149,카페,{}
영업/정상,02 32955900,서울특별시 동대문구 이문동 341-18,서울특별시 동대문구 이문로 45 12층 (이문동),히노하루,20200000000000.0,U,01:00.0,일식,204941.1023,454356.4008,,0.0,0,한식,{}
영업/정상,02 9650172,서울특별시 동대문구 이문동 283-6 1층,서울특별시 동대문구 이문로25길 22 1층 (이문동),행복한한끼,20200000000000.0,U,05:00.0,한식,205074.9073,454818.3147,,4.5,11,"해물,생선","{'고등어구이': '7,500', '김치고등어조림': '7,500', '돼지 석쇠불고기': '7,000', '고추장 석쇠불고기': '7,000', '쭈꾸미 볶음': '8,000'}"
영업/정상,02 9668955,서울특별시 동대문구 이문동 305-77번지 1층,서울특별시 동대문구 휘경로2길 5-8 1층 (이문동),서래갈매기살,20200000000000.0,I,59:59.0,한식,205354.8908,454797.3365,한식,1.0,1,"육류,고기","{'갈매기살': 0, '우삼겹': 0, '매운 갈매기살': 0, '삼겹살': 0, '목살': 0, '돼지 막창': 0, '껍데기': 0, '항정살': 0, '물냉면': 0, '비빔 냉면': 0}"
영업/정상,02 9630209,서울특별시 동대문구 이문동 316-1번지,서울특별시 동대문구 휘경로2길 17 (이문동),1988,20200000000000.0,U,40:00.0,한식,205301.4104,454775.6082,한식,1.0,1,"호프,요리주점","{'찹스테이크': '19,000', '육전': '19,000', '통오징어+감자튀김': '15,000', '감바스(바게트3개)': '13,000', '베이컨숙주볶음': '12,000'}"
영업/정상,02 4705322,서울특별시 동대문구 이문동 255-340번지,서울특별시 동대문구 이문로43라길 14 (이문동),자매분식,20200000000000.0,I,59:59.0,분식,205252.4402,455484.4082,분식,0.0,0,분식,"{'부산수제어묵탕': '4,000', '순대': '4,000', '모듬튀김': '5,500', '2인세트': '19,500', '떡볶이 2인 (매운맛)': '11,000', '치킨떡볶이 2인': '12,000', '콜라 500ml': '2,000', '사이다 500ml': '2,000', '닥터페퍼 355ml': '2,000', '피크닉 200ml': '800', '피크닉 200ml (3개)': '2,000', '쿨피스 960ml': '2,000', '주먹밥': '4,000', '치킨가라아게': '4,500', '고구마튀김 (2개)': '1,500', '단호박튀김 (3개)': '1,500', '야채튀김 (2개)': '1,500', '한입고추튀김 (3개)': '1,500', '만두튀김 (5개)': '1,500', '오징어튀김 (2개)': '1,500', '새우튀김 (3개)': '1,500', '': ''}"
영업/정상,02 9633392,서울특별시 동대문구 이문동 349-11번지,서울특별시 동대문구 이문로9길 105 1층 (이문동),나폴리식당,20200000000000.0,I,59:59.0,한식,204923.5735,454945.2765,한식,5.0,7,한식,"{'제육+된장': '7,000', '제육쌈밥': '7,000', '순두부찌개': '5,000', '김치찌개': '6,500', '감자탕': '7,000'}"
영업/정상,02 9429511,서울특별시 동대문구 이문동 305-74,서울특별시 동대문구 휘경로2길 5-2 (이문동),해성닭한마리,20200000000000.0,U,09:00.0,한식,205328.0839,454812.0068,,1.5,9,닭요리,"{'반마리+칼국수': '15,000', '바지락칼국수': '7,000', '닭한마리(2인)': '22,000', '닭볶음탕(2인)': '24,000', '삼계탕': '12,000'}"
영업/정상,02 9655996,서울특별시 동대문구 이문동 287-39번지 1층,서울특별시 동대문구 휘경로2길 16 1층 (이문동),이문시장,20200000000000.0,I,59:59.0,분식,205284.1692,454787.852,분식,3.8,25,실내포장마차,"{'추억의냉삼(150g)': '4,900', '마약생삼겹(150g)': '4,900', '양념목갈비(200g)': '5,900', '껍데기(150g)': '4,900', '육회(150g)': '9,900'}"
영업/정상,02 9673728,서울특별시 동대문구 이문동 305-3번지 지하1층,서울특별시 동대문구 휘경로2가길 1 지하1층 (이문동),젠(zen),20100000000000.0,I,59:59.0,경양식,205318.2373,454803.0843,경양식,4.0,1,칵테일바,"{'칵테일': '8,000', '와인': '6,000', '위스키': '89,000'}"
영업/정상,02 9664277,서울특별시 동대문구 이문동 305-140번지,서울특별시 동대문구 휘경로 20-1 1층 (이문동),역전숯불바베큐,20200000000000.0,U,40:00.0,통닭(치킨),205417.325,454792.1955,통닭(치킨),3.0,2,치킨,"{'숯불매콤양념치킨': '15,000', '숯불소금구이치킨': '15,000', '숯불매콤반소금반': '15,000', '숯불매콤양념삼겹살': '15,000', '숯불 (반마리)': '8,000', '숯불구이 노가리': '8,000', '숯불구이 반건조오징어': '10,000', '숯불구이 육포': '12,000', '번데기탕': '8,000'}"
영업/정상,02 9679622,서울특별시 동대문구 이문동 255-229번지 1층,서울특별시 동대문구 신이문로 6 1층 (이문동),수제왕갈비,20200000000000.0,U,40:00.0,한식,205461.807,455612.2293,한식,1.0,2,한식,{}
영업/정상,02 9692080,서울특별시 동대문구 이문동 287-18번지,서울특별시 동대문구 이문로28길 16 1층 (이문동),선이네순대국,20200000000000.0,I,59:59.0,한식,205275.0729,454799.3046,한식,4.0,1,순대,"{'순대국': '7,000', '뼈해장국': '7,000', '육개장': '7,000', '술국': '12,000', '머리고기': '12,000'}"
영업/정상,02 9573076,서울특별시 동대문구 이문동 288-61번지,서울특별시 동대문구 휘경로 4-6 (이문동),닭한마리,20200000000000.0,I,59:59.0,한식,205266.8052,454862.9835,한식,2.5,1,닭요리,"{'부대찌개': '6,000', '닭도리탕': '6,000', '닭도리탕(한마리)': '15,000', '닭한마리': '10,000', '닭한마리(한마리)': '15,000'}"
영업/정상,02 9621691,서울특별시 동대문구 이문동 305-74번지 1층,서울특별시 동대문구 휘경로2길 5-2 1층 (이문동),39돈가스,20200000000000.0,I,59:59.0,한식,205328.0839,454812.0068,한식,3.5,18,"돈까스,우동","{'등심돈가스': '5,900', '안심가스': '6,900', '크림카레돈가스': '6,500', '김치돈가스': '6,500', '함박가스': '7,500'}"
영업/정상,02 9599360,서울특별시 동대문구 이문동 289-1번지 지상2층,서울특별시 동대문구 휘경로 9 2층 (이문동),주)설빙서울이문점,20200000000000.0,U,40:00.0,경양식,205358.3425,454870.4161,경양식,3.3,8,디저트카페,"{'인절미설빙': 0, '인절미토스트': 0, '블루베리치즈설빙': 0, '치즈설빙': 0, '블루베리요거트스무디': 0, '티라미수 설빙': 0, '딸기치즈메론설빙': 0, '리얼통통메론설빙': 0, '요거통통메론설빙': 0, '팥인절미설빙': 0, '애플망고치즈설빙': 0}"
영업/정상,,서울특별시 동대문구 이문동 175-19번지 (한천로443),서울특별시 동대문구 한천로 443 (이문동(한천로443)),희진,20100000000000.0,I,59:59.0,호프/통닭,205883.6963,455312.9989,호프/통닭,0.0,0,미용실,{}
영업/정상,02 60120060,서울특별시 동대문구 이문동 287-37 1층,서울특별시 동대문구 이문로28길 14 1층 (이문동),인연,20200000000000.0,U,07:00.0,한식,205263.0722,454805.2976,,5.0,2,술집,{}
영업/정상,02 9684977,서울특별시 동대문구 이문동 287-18 (이문로104-9),서울특별시 동대문구 이문로28길 16 (이문동(이문로104-9)),자매식당,20200000000000.0,U,06:00.0,한식,205275.0729,454799.3046,,5.0,1,한식,{}
영업/정상,02 9690451,서울특별시 동대문구 이문동 238-15번지 (신이문길37),서울특별시 동대문구 신이문로 21 (이문동(신이문길37)),대아,20100000000000.0,I,59:59.0,한식,205629.9983,455648.2078,한식,0.0,0,슈퍼마켓,{}
영업/정상,02 9646377,서울특별시 동대문구 이문동 180-8번지 (한천로450-1),서울특별시 동대문구 한천로 450-1 (이문동(한천로450-1)),용궁,20100000000000.0,I,59:59.0,중국식,205914.4688,455384.7939,중국식,3.7,3,중화요리,{}
영업/정상,02 9671123,서울특별시 동대문구 이문동 220-359번지 (신이문길 77),서울특별시 동대문구 신이문로 43 (이문동(신이문길 77)),진도식당,20100000000000.0,I,59:59.0,한식,205843.8523,455654.0408,한식,0.0,0,"육류,고기",{}
영업/정상,02 9650389,서울특별시 동대문구 이문동 264-222번지 (이문한길50),서울특별시 동대문구 천장산로7길 10-1 (이문동(이문한길50)),돌돌말아뽀글뽀글,20100000000000.0,I,59:59.0,분식,204977.1777,455139.0552,분식,2.3,0,한식,{}
영업/정상,02 9693709,서울특별시 동대문구 이문동 305-152번지,서울특별시 동대문구 휘경로 17 (이문동),장터분식해성만두,20200000000000.0,I,59:59.0,중국식,205420.5899,454834.7658,중국식,5.0,1,분식,{}
영업/정상,,서울특별시 동대문구 이문동 288-42번지,서울특별시 동대문구 휘경로2길 10 1층 (이문동),취향저격,20200000000000.0,I,59:59.0,통닭(치킨),205302.0149,454813.3196,통닭(치킨),0.0,4,술집,"{'딱새우회': '12,900', '스끼야끼': '9,900', '치즈계란말이': '7,900', '마약콘치즈': '3,900', '무뼈닭발볶음': '9,900'}"
영업/정상,02 9693263,서울특별시 동대문구 이문동 339-4번지 1층,서울특별시 동대문구 경희대로4길 73 1층 (이문동),따봉하우스,20200000000000.0,U,37:11.0,분식,204901.4339,454342.4334,분식,2.6,34,떡볶이,"{'즉석떡볶이 (3인분)': '10,000', '즉석떡볶이 (2인분)': '8,000', '피자떡볶이 (3인분)': '11,000', '피자떡볶이 (2인분)': '9,000'}"
영업/정상,02 9598585,서울특별시 동대문구 이문동 326-6번지 (외대풍물길24),서울특별시 동대문구 휘경로2길 28 (이문동(외대풍물길24)),토담마을,20100000000000.0,I,59:59.0,분식,205253.1899,454740.6575,분식,4.0,1,"육류,고기","{'돼지갈비': '12,000', '생삼겹살': '12,000', '생목살': '12,000', '가브리살': '12,000', '오리': '12,000'}"
영업/정상,02 9655620,서울특별시 동대문구 이문동 305-85번지,서울특별시 동대문구 휘경로2가길 5 1층 (이문동),샤로스톤,20200000000000.0,U,40:00.0,한식,205337.141,454793.80800000000,한식,4.3,29,"스테이크,립","{'살치살(180g)': '16,000', '등심(180g)': '15,000', '갈비살(200g)': '15,000', '부채살(200g)': '14,000', '규카츠(160g)': '17,000', '리코타 치즈샐러드': '8,000'}"
영업/정상,02 9653274,서울특별시 동대문구 이문동 237-8번지,서울특별시 동대문구 신이문로 34-1 1층 (이문동),영수네고기세상,20200000000000.0,U,40:00.0,식육(숯불구이),205749.5061,455614.6423,식육(숯불구이),5.0,0,"육류,고기",{}
영업/정상,,서울특별시 동대문구 이문동 326-10번지,서울특별시 동대문구 이문로 88-13 (이문동),화덕고,20200000000000.0,U,40:00.0,한식,205213.77300000000,454736.8412,한식,4.6,13,"육류,고기","{'모듬스페셜(2인)': '19,500', '가브리살(180g)': '8,500', '삼겹살(180g)': '7,500', '목살(180g)': '8,000', '고추장닭갈비(200g)': '7,000'}"
영업/정상,,서울특별시 동대문구 이문동 264-312번지,서울특별시 동대문구 이문로9가길 32 1층 (이문동),해송,20200000000000.0,I,59:59.0,한식,204897.9803,455090.651,한식,4.5,2,회,"{'해물찜': 0, '해물탕': 0}"
영업/정상,02 9624576,서울특별시 동대문구 이문동 288-79번지 1층,서울특별시 동대문구 이문로30길 22 1층 (이문동),아쿠아,20200000000000.0,U,40:00.0,한식,205348.2843,454896.2248,한식,4.3,1,"호프,요리주점",{}
영업/정상,02 9574004,서울특별시 동대문구 이문동 305-78번지 1층,서울특별시 동대문구 휘경로2길 5-10 1층 (이문동),도란도란곱창,20200000000000.0,I,59:59.0,한식,205363.8296,454792.4796,한식,2.9,50,"곱창,막창","{'야채곱창': '7,000', '순대볶음': '7,000', '오돌뼈': '7,000', '알곱창': '7,500', '계란말이': '8,000'}"
